iter	R2	RMSE
0	0.04920673695	34.63765859
1	0.08776713716	33.92800599
2	0.1318960809	33.09720636
3	0.1669048931	32.42296826
4	0.206830607	31.63650162
5	0.2413109408	30.94121688
6	0.2766807349	30.21137527
7	0.3109911806	29.48613637
8	0.3410686248	28.83537295
9	0.3685877419	28.22682195
10	0.3976224719	27.57019643
11	0.4205012136	27.04156017
12	0.445663061	26.44797277
13	0.4655680002	25.96878952
14	0.4843052011	25.50949464
15	0.5107106981	24.8478227
16	0.5364902139	24.18437861
17	0.5571826073	23.6383857
18	0.5776339191	23.08606937
19	0.5943152684	22.62558467
20	0.6152711673	22.03346737
21	0.635677959	21.44115629
22	0.6502418908	21.00822575
23	0.6686633457	20.44750018
24	0.6836523371	19.97964625
25	0.6962908836	19.57647046
26	0.7125423202	19.04550257
27	0.7265771501	18.57474593
28	0.7350624527	18.28425355
29	0.7449952504	17.93823107
30	0.7558837205	17.55108019
31	0.7680270038	17.10898302
32	0.7787415543	16.7091904
33	0.788616957	16.33204441
34	0.796650027	16.01870999
35	0.8072759796	15.59456995
36	0.8168401102	15.20269792
37	0.8243817384	14.88642166
38	0.8323247409	14.54587906
39	0.8382391437	14.28703794
40	0.8440653116	14.02738922
41	0.8507107347	13.72523439
42	0.8576047852	13.40457895
43	0.8640834507	13.09608995
44	0.8698791022	12.81383139
45	0.8753269397	12.54272179
46	0.8809132709	12.25849524
47	0.8860728954	11.98999521
48	0.8908432652	11.73628771
49	0.8968647929	11.40798527
50	0.9012143241	11.16483906
51	0.904105453	11.00024696
52	0.9071897851	10.82189631
53	0.9112685595	10.58142712
54	0.9144697653	10.38879822
55	0.9187648206	10.12459247
56	0.9228059722	9.869549517
57	0.9266970118	9.617591321
58	0.9289782671	9.466754434
59	0.9318113315	9.276018039
60	0.9347562533	9.073501722
61	0.9382533747	8.826978985
62	0.940817248	8.641777042
63	0.9435950661	8.436533328
64	0.9458404918	8.266902878
65	0.9484405275	8.066027758
66	0.9509009758	7.871217441
67	0.9523492072	7.754263318
68	0.954295433	7.594256804
69	0.9562098587	7.433505253
70	0.9581553028	7.266506962
71	0.959777031	7.124305614
72	0.9615775524	6.963025615
73	0.9631628084	6.817870311
74	0.9638121634	6.757511438
75	0.9655248282	6.595666667
76	0.9672339037	6.430101541
77	0.9687530729	6.279269695
78	0.9700338805	6.149229933
79	0.9713887306	6.008610368
80	0.9723821916	5.903371106
81	0.9736010015	5.771639611
82	0.9746519943	5.655582967
83	0.9756996627	5.537473108
84	0.9763059355	5.467959163
85	0.9772178587	5.361702959
86	0.9782434306	5.239630811
87	0.9792023533	5.122861063
88	0.9800507037	5.017290753
89	0.9807080429	4.933937265
90	0.9814354198	4.84002991
91	0.9821958836	4.739861944
92	0.9828617941	4.650376945
93	0.9835317914	4.558570321
94	0.9841532008	4.471737031
95	0.9846804072	4.396722853
96	0.9853544642	4.298907607
97	0.9858956277	4.218736114
98	0.9863935953	4.14359377
99	0.9869207207	4.062537528
100	0.9873035786	4.002636427
101	0.9877583962	3.930290379
102	0.9882020884	3.858407096
103	0.9886166857	3.790005525
