iter	Passed	Remaining
0	202	303796
1	267	200079
2	334	167113
3	350	131000
4	376	112630
5	417	103953
6	445	95081
7	469	87592
8	489	81066
9	534	79692
10	567	76869
11	623	77374
12	660	75497
13	670	71165
14	681	67422
15	729	67701
16	764	66730
17	796	65557
18	846	65946
19	900	66649
20	936	65973
21	984	66168
22	999	64191
23	1032	63496
24	1051	62053
25	1065	60388
26	1108	60489
27	1158	60890
28	1168	59295
29	1182	57940
30	1200	56888
31	1233	56597
32	1267	56339
33	1319	56907
34	1342	56201
35	1383	56255
36	1416	56009
37	1456	56051
38	1502	56272
39	1519	55471
40	1538	54739
41	1583	54986
42	1632	55332
43	1683	55702
44	1735	56117
45	1780	56278
46	1813	56056
47	1839	55647
48	1887	55901
49	1917	55612
50	1969	55957
51	2017	56191
52	2038	55663
53	2080	55713
54	2101	55221
55	2131	54961
56	2154	54554
57	2186	54368
58	2200	53750
59	2224	53386
60	2266	53458
61	2302	53392
62	2344	53479
63	2392	53683
64	2438	53840
65	2467	53608
66	2519	53883
67	2537	53439
68	2574	53395
69	2609	53307
70	2652	53380
71	2695	53458
72	2721	53203
73	2768	53350
74	2782	52871
75	2834	53108
76	2870	53054
77	2904	52951
78	2953	53124
79	2994	53159
80	3038	53226
81	3067	53040
82	3110	53097
83	3133	52829
84	3151	52461
85	3184	52367
86	3236	52558
87	3261	52332
88	3314	52543
89	3336	52273
90	3400	52649
91	3472	53150
92	3515	53184
93	3580	53553
94	3616	53480
95	3671	53691
96	3711	53682
97	3754	53707
98	3783	53539
99	3811	53359
100	3833	53100
101	3867	53004
102	3908	53015
103	3947	52983
104	3997	53103
105	4042	53163
106	4074	53046
107	4102	52872
108	4116	52537
109	4161	52588
110	4209	52674
111	4230	52426
112	4276	52493
113	4296	52239
114	4312	51938
115	4351	51912
116	4369	51647
117	4417	51738
118	4430	51414
119	4478	51499
120	4530	51632
121	4559	51498
122	4607	51578
123	4624	51312
124	4671	51389
125	4688	51124
126	4712	50949
127	4728	50680
128	4753	50521
129	4768	50256
130	4813	50298
131	4858	50352
132	4880	50166
133	4928	50245
134	4964	50192
135	5005	50203
136	5039	50137
137	5089	50230
138	5118	50115
139	5142	49951
140	5152	49657
141	5205	49780
142	5230	49632
143	5280	49723
144	5334	49845
145	5380	49895
146	5402	49721
147	5449	49784
148	5498	49857
149	5535	49823
150	5586	49909
151	5632	49952
152	5655	49792
153	5694	49769
154	5728	49706
155	5772	49734
156	5797	49589
157	5822	49452
158	5855	49382
159	5944	49786
160	6011	49995
161	6065	50093
162	6111	50133
163	6161	50191
164	6211	50259
165	6274	50421
166	6299	50280
167	6344	50299
168	6389	50325
169	6421	50240
170	6445	50092
171	6487	50090
172	6535	50134
173	6562	50012
174	6598	49959
175	6646	50001
176	6696	50055
177	6745	50099
178	6789	50104
179	6810	49946
180	6840	49850
181	6888	49883
182	6936	49922
183	6965	49816
184	7008	49819
185	7052	49823
186	7101	49865
187	7149	49896
188	7193	49896
189	7241	49925
190	7286	49935
191	7330	49941
192	7347	49758
193	7363	49567
194	7412	49609
195	7463	49654
196	7517	49719
197	7546	49627
198	7584	49585
199	7634	49625
200	7670	49574
201	7720	49607
202	7753	49539
203	7799	49551
204	7849	49587
205	7895	49595
206	7940	49600
207	7996	49669
208	8045	49699
209	8092	49708
210	8134	49694
211	8170	49641
212	8211	49618
213	8227	49440
214	8273	49445
215	8288	49268
216	8330	49256
217	8361	49173
218	8401	49142
219	8443	49128
220	8486	49112
221	8531	49111
222	8575	49108
223	8591	48939
224	8609	48788
225	8657	48803
226	8710	48849
227	8753	48836
228	8772	48687
229	8798	48584
230	8841	48571
231	8887	48576
232	8933	48578
233	8970	48531
234	9001	48453
235	9041	48427
236	9085	48420
237	9134	48436
238	9179	48430
239	9221	48410
240	9262	48389
241	9281	48248
242	9324	48233
243	9374	48257
244	9403	48170
245	9448	48162
246	9498	48185
247	9546	48194
248	9597	48216
249	9646	48231
250	9675	48145
251	9693	48007
252	9732	47970
253	9773	47943
254	9817	47930
255	9861	47921
256	9906	47915
257	9947	47888
258	9999	47914
259	10043	47898
260	10089	47893
261	10135	47894
262	10186	47909
263	10225	47876
264	10267	47849
265	10313	47847
266	10356	47827
267	10406	47838
268	10458	47859
269	10503	47849
270	10549	47841
271	10593	47824
272	10636	47807
273	10679	47785
274	10721	47759
275	10747	47663
276	10792	47650
277	10838	47641
278	10894	47678
279	10945	47690
280	11000	47722
281	11048	47718
282	11098	47726
283	11151	47747
284	11199	47745
285	11281	47885
286	11323	47858
287	11381	47895
288	11435	47916
289	11488	47936
290	11539	47943
291	11587	47939
292	11622	47879
293	11663	47844
294	11718	47866
295	11767	47867
296	11816	47863
297	11868	47872
298	11919	47878
299	11971	47884
300	12025	47904
301	12081	47925
302	12133	47932
303	12193	47971
304	12244	47973
305	12285	47937
306	12325	47898
307	12356	47819
308	12396	47779
309	12439	47751
310	12482	47723
311	12523	47684
312	12567	47660
313	12612	47640
314	12656	47613
315	12701	47589
316	12744	47561
317	12797	47569
318	12845	47555
319	12890	47532
320	12932	47500
321	12994	47540
322	13030	47483
323	13071	47445
324	13134	47487
325	13180	47467
326	13223	47433
327	13273	47426
328	13316	47397
329	13365	47387
330	13457	47528
331	13723	48280
332	13911	48751
333	14017	48935
334	14090	49002
335	14149	49019
336	14199	49001
337	14250	48992
338	14327	49069
339	14390	49098
340	14447	49103
341	14497	49087
342	14546	49068
343	14594	49044
344	14640	49014
345	14694	49011
346	14748	49005
347	14798	48987
348	14848	48970
349	14896	48946
350	14944	48921
351	14996	48909
352	15046	48892
353	15086	48840
354	15130	48801
355	15183	48791
356	15233	48774
357	15300	48808
358	15355	48805
359	15405	48784
360	15459	48775
361	15502	48734
362	15547	48696
363	15597	48676
364	15638	48629
365	15687	48604
366	15737	48583
367	15785	48557
368	15838	48547
369	15890	48531
370	15941	48511
371	15988	48481
372	16035	48450
373	16075	48398
374	16117	48353
375	16162	48315
376	16210	48288
377	16259	48262
378	16300	48213
379	16346	48177
380	16409	48195
381	16461	48176
382	16513	48161
383	16572	48165
384	16639	48188
385	16699	48195
386	16747	48165
387	16809	48174
388	16868	48176
389	16916	48146
390	16963	48115
391	17010	48079
392	17060	48055
393	17106	48019
394	17148	47973
395	17199	47949
396	17250	47927
397	17301	47905
398	17347	47867
399	17393	47831
400	17439	47796
401	17485	47759
402	17532	47725
403	17575	47680
404	17619	47636
405	17665	47600
406	17714	47571
407	17761	47538
408	17806	47499
409	17851	47460
410	17898	47425
411	17946	47393
412	17989	47346
413	18034	47308
414	18084	47280
415	18126	47232
416	18166	47181
417	18214	47149
418	18256	47100
419	18309	47080
420	18362	47061
421	18433	47088
422	18497	47096
423	18558	47096
