Annual_Income,Earning_Members,Parent_Type,House_Type,Rent_Amount,Parent_Occupation,Job_Type,Loan_Burden,Medical_Expenditure,Disability_Family,No_of_Children_Studying,Annual_College_Fee,Hostel_or_DayScholar,Transport_Cost,Land_Owned_Acres,Agriculture_Income,Urban_Rural,First_Generation_Learner
314061,3,Single Mother,Own,0,Govt Job,Permanent,0,24377,0,3,39828,DayScholar,736,2.6,0,Urban,yes
962904,3,Both Alive,Own,0,Govt Job,Contract,0,47479,0,3,40973,Hostel,0,4.87,0,Urban,yes
660493,3,Single Father,Rent,9736,Foreign,Self-employed,78744,19010,0,4,31523,DayScholar,4481,4.25,0,Rural,yes
722382,2,Single Mother,Rent,8941,Agriculture,Contract,0,13639,0,1,105145,Hostel,0,1.72,7998,Rural,no
351063,1,Single Mother,Rent,9895,Other,Contract,41406,18182,1,3,73314,Hostel,0,2.04,0,Urban,no
395327,2,Single Mother,Own,0,Private Job,Contract,109297,27963,1,1,67808,DayScholar,4168,0.35,0,Rural,yes
277242,1,Both Alive,Own,0,Foreign,Contract,0,20503,0,4,39561,Hostel,0,1.11,0,Rural,yes
578277,3,Both Alive,Own,0,Govt Job,Permanent,0,24410,0,2,79116,DayScholar,1118,3.03,0,Rural,yes
474579,4,Both Alive,Rent,2536,Govt Job,Permanent,0,48321,0,2,106197,DayScholar,1178,0.61,0,Urban,no
422077,4,Single Father,Own,0,Other,Self-employed,109822,8533,1,2,129100,Hostel,0,0.72,0,Rural,no
430239,1,Single Father,Rent,5727,Foreign,Contract,0,33327,1,1,93589,DayScholar,3170,4.75,0,Rural,no
212864,2,Single Father,Own,0,Other,Permanent,0,31737,0,1,135275,Hostel,0,0.15,0,Rural,yes
179733,1,Both Alive,Own,0,Daily Wage,Contract,27570,10197,1,2,44292,DayScholar,4593,1.25,0,Rural,yes
374873,2,Single Father,Own,0,Private Job,Permanent,187748,36820,1,3,21494,Hostel,0,4.65,0,Urban,no
700116,4,Single Father,Rent,6116,Other,Permanent,0,35029,0,4,143363,DayScholar,1352,1.76,0,Urban,yes
633478,3,Single Father,Own,0,Other,Permanent,0,41897,0,2,111675,Hostel,0,1.62,0,Urban,yes
807925,2,Single Mother,Rent,7901,Govt Job,Permanent,34341,26897,1,3,90465,DayScholar,4848,4.04,0,Urban,yes
648653,1,Single Mother,Rent,7545,Business,Self-employed,0,35722,0,2,113088,Hostel,0,1.16,0,Rural,no
183704,1,Single Father,Rent,3167,Business,Self-employed,0,19266,0,3,127221,Hostel,0,4.82,0,Urban,yes
743536,3,Single Father,Own,0,Business,Permanent,26385,29442,0,4,53607,DayScholar,4765,4.75,0,Rural,no
222248,1,Both Alive,Rent,4937,Govt Job,Contract,0,41375,1,2,84704,Hostel,0,0.56,0,Urban,no
114395,1,Single Mother,Rent,9474,Foreign,Self-employed,0,28780,0,2,102713,Hostel,0,2.13,0,Urban,yes
881162,1,Single Mother,Own,0,Agriculture,Self-employed,20669,14251,1,2,134837,DayScholar,4863,3.62,5121,Urban,yes
166611,3,Both Alive,Own,0,Other,Contract,73081,13151,1,1,136329,Hostel,0,0.85,0,Rural,yes
109924,2,Single Mother,Rent,2556,Business,Permanent,0,36768,1,4,27444,DayScholar,3249,3.13,0,Rural,yes
792733,4,Single Mother,Rent,3218,Govt Job,Contract,0,14958,0,3,78695,DayScholar,3026,2.99,0,Urban,no
941788,4,Single Father,Rent,6747,Govt Job,Self-employed,0,22380,0,3,96624,Hostel,0,4.28,0,Urban,yes
535942,1,Both Alive,Own,0,Other,Self-employed,0,7556,1,2,44038,DayScholar,4127,3.01,0,Urban,yes
278415,1,Single Father,Rent,2996,Other,Contract,33045,27278,1,4,30403,DayScholar,4436,2.36,0,Rural,yes
902423,4,Both Alive,Rent,8805,Other,Contract,0,8874,1,1,84459,Hostel,0,0.44,0,Rural,yes
205677,2,Single Father,Rent,6331,Private Job,Permanent,99058,36522,0,3,74982,Hostel,0,0.33,0,Urban,no
219996,3,Single Father,Own,0,Business,Contract,46072,44981,1,1,31294,Hostel,0,3.51,0,Rural,no
633559,3,Single Mother,Own,0,Business,Contract,193638,15556,0,2,29455,Hostel,0,3.8,0,Urban,no
379227,3,Single Father,Rent,5356,Other,Self-employed,0,39665,1,2,121908,Hostel,0,3.76,0,Urban,no
365134,4,Single Mother,Rent,3461,Foreign,Permanent,0,12824,0,4,20247,DayScholar,4397,1.81,0,Urban,no
91624,3,Single Father,Own,0,Other,Contract,146451,8482,1,2,122277,Hostel,0,0.24,0,Urban,yes
996894,2,Both Alive,Rent,5238,Business,Self-employed,35662,6070,1,2,79867,Hostel,0,0.02,0,Rural,no
611914,3,Single Father,Own,0,Agriculture,Contract,0,48989,0,2,106615,Hostel,0,1.47,26121,Rural,no
67112,3,Both Alive,Rent,4261,Private Job,Contract,0,42843,0,2,66637,Hostel,0,1.44,0,Rural,yes
266371,4,Single Father,Own,0,Daily Wage,Self-employed,0,25286,0,2,46417,Hostel,0,2.64,0,Urban,no
