Annual_Income,Earning_Members,Parent_Type,House_Type,Parent_Occupation,Land_Owned_Acres,Children_Studying,Any_Disability,Urban_Rural,First_Generation_Learner,Rent_Amount,Job_Type,Loan_Burden,Medical_Expenditure,Annual_College_Fee,Hostel_or_DayScholar,Transport_Cost,Agriculture_Income,Reimbursement_%
162000,2,Single Parent,Rent,Private Job,0.96,3,No,Rural,Yes,2475,Salaried,0,11245,72889,DayScholar,1329,0,100.0
495000,1,Both Alive,Rent,Daily Wage,1.09,0,No,Rural,Yes,2575,Daily Income,100000,8972,44633,DayScholar,3917,0,82.38
330000,2,Both Alive,Rent,Unemployed,0.69,1,No,Urban,No,4489,None,0,8470,92244,DayScholar,3030,0,82.34
166000,3,Both Alive,Rent,Unemployed,1.04,3,No,Rural,No,4967,None,10000,7318,49163,DayScholar,3790,0,100.0
131000,3,Both Alive,Rent,Government Job,0.02,1,No,Rural,Yes,6840,Salaried,0,14601,89019,Hostel,0,0,100.0
760000,1,Single Parent,Own,Daily Wage,0.56,2,No,Urban,Yes,0,Daily Income,150000,5528,40707,DayScholar,3538,0,75.7
80000,3,Single Parent,Rent,Government Job,0.33,3,No,Rural,Yes,5323,Salaried,100000,11454,118112,DayScholar,3166,0,100.0
674000,3,Both Alive,Own,Private Job,0.14,0,No,Urban,No,0,Salaried,0,5203,113597,Hostel,0,0,53.61
181000,1,Both Alive,Own,Agriculture,0.1,3,No,Urban,Yes,0,Daily Income,0,13270,75101,Hostel,0,46245,100.0
526000,2,Both Alive,Own,Daily Wage,0.92,1,No,Urban,Yes,0,Daily Income,50000,9938,74706,DayScholar,1744,0,68.99
274000,2,Single Parent,Own,Daily Wage,0.74,0,No,Urban,No,0,Daily Income,0,2272,107084,Hostel,0,0,82.6
390000,2,Both Alive,Own,Daily Wage,0.29,3,No,Rural,Yes,0,Daily Income,200000,2664,45115,DayScholar,3704,0,100.0
518000,1,Both Alive,Own,Government Job,0.64,3,No,Urban,Yes,0,Salaried,200000,7611,105379,Hostel,0,0,90.06
147000,3,Both Alive,Own,Private Job,0.68,3,No,Urban,Yes,0,Salaried,50000,8883,132481,Hostel,0,0,100.0
432000,2,Both Alive,Rent,Daily Wage,0.22,3,No,Rural,No,4585,Daily Income,50000,3335,69979,DayScholar,949,0,93.97
159000,2,Both Alive,Own,Daily Wage,1.06,0,No,Rural,Yes,0,Daily Income,10000,3165,70641,Hostel,0,0,90.02
723000,1,Both Alive,Own,Unemployed,1.52,1,No,Rural,No,0,None,100000,6613,99377,DayScholar,3594,0,52.03
190000,2,Single Parent,Rent,Agriculture,1.57,3,No,Rural,Yes,5829,Daily Income,0,3063,36416,DayScholar,543,159111,100.0
721000,1,Both Alive,Own,Unemployed,0.92,0,No,Rural,Yes,0,None,100000,8998,40633,Hostel,0,0,60.91
368000,3,Both Alive,Rent,Unemployed,0.72,1,No,Urban,Yes,1526,None,0,8631,133189,Hostel,0,0,85.51
403000,1,Single Parent,Rent,Agriculture,0.06,3,No,Rural,Yes,7090,Daily Income,0,9223,30594,Hostel,0,170125,100.0
551000,1,Both Alive,Rent,Private Job,0.34,1,No,Urban,No,1592,Salaried,100000,12909,44393,Hostel,0,0,78.82
473000,1,Single Parent,Rent,Unemployed,0.1,1,No,Rural,Yes,4164,None,150000,3196,65380,DayScholar,3399,0,100.0
445000,1,Both Alive,Own,Private Job,3.32,0,No,Urban,No,0,Salaried,150000,5187,75056,DayScholar,2594,0,50.33
251000,3,Both Alive,Rent,Unemployed,0.15,1,No,Rural,Yes,1551,None,0,7821,118279,Hostel,0,0,100.0
336000,3,Single Parent,Own,Business,0.16,0,Yes,Rural,No,0,Self Employed,100000,7513,127507,DayScholar,1547,0,100.0
220000,2,Both Alive,Own,Agriculture,2.2,3,No,Rural,No,0,Daily Income,150000,8204,146184,Hostel,0,85958,89.09
519000,3,Both Alive,Rent,Unemployed,2.88,1,No,Urban,No,5776,None,0,6071,148243,Hostel,0,0,48.74
373000,3,Both Alive,Own,Business,1.45,1,No,Rural,Yes,0,Self Employed,100000,7836,34861,Hostel,0,0,82.09
81000,2,Both Alive,Rent,Government Job,0.01,2,No,Rural,Yes,5391,Salaried,30000,558,133070,DayScholar,1642,0,100.0
312000,3,Both Alive,Rent,Business,0.0,3,No,Rural,Yes,6242,Self Employed,100000,10265,66126,DayScholar,3282,0,100.0
620000,1,Both Alive,Rent,Daily Wage,0.47,3,No,Urban,No,5456,Daily Income,100000,1640,110382,DayScholar,2191,0,78.96
534000,1,Single Parent,Rent,Unemployed,0.15,2,No,Rural,Yes,7557,None,200000,10502,121713,Hostel,0,0,100.0
118000,2,Both Alive,Own,Business,0.02,2,No,Rural,No,0,Self Employed,100000,14593,63682,Hostel,0,0,100.0
570000,2,Both Alive,Own,Private Job,0.62,0,No,Rural,No,0,Salaried,50000,11890,48228,DayScholar,2355,0,63.92
741000,2,Both Alive,Rent,Government Job,2.87,0,No,Rural,Yes,4192,Salaried,50000,12168,130299,DayScholar,2447,0,44.95
