Annual_Income,Earning_Members,Parent_Type,House_Type,Rent_Amount,Parent_Occupation,Job_Type,Loan_Burden,Medical_Expenditure,Any_Disability,Children_Studying,Annual_College_Fee,Hostel_or_DayScholar,Transport_Cost,Land_Owned,Agriculture_Income,Urban_Rural,First_Generation_Learner,Reimbursement_%
121958,3,Single Father,Own,55267,Private Job,Temporary,37034,73870,Yes,2,853810,DayScholar,35454,0.2,399871,Rural,no,100
671155,3,Both Alive,Rent,82379,Unemployed,Permanent,171389,24162,Yes,3,47310,Hostel,23572,1.35,219182,Rural,no,100
131932,1,Both Alive,Own,23952,Daily Wage,Contract,55468,6008,No,0,636115,DayScholar,38546,6.95,312067,Urban,yes,50
365838,1,Single Mother,Rent,53798,Foreign,Contract,150166,7987,No,1,209899,DayScholar,15150,1.2,78563,Rural,no,50
259178,1,Single Father,Own,98696,Business,Contract,188868,62532,No,0,438472,DayScholar,16799,2.31,135102,Urban,yes,50
644167,2,Both Alive,Rent,50939,Daily Wage,Temporary,10589,96502,Yes,4,217500,DayScholar,9663,3.51,89779,Rural,yes,100
110268,1,Single Father,Rent,29516,Govt Job,Self-employed,57221,3332,Yes,1,109862,Hostel,36948,7.58,164361,Urban,no,100
732180,3,Both Alive,Rent,56526,Business,Permanent,1657,66323,Yes,0,1030498,Hostel,37030,5.82,412955,Urban,yes,100
54886,3,Both Alive,Rent,10449,Daily Wage,Contract,98300,38990,Yes,3,311033,DayScholar,27007,6.89,99704,Rural,yes,100
137337,1,Single Father,Own,50290,Agriculture,Permanent,117229,9873,Yes,3,1372148,Hostel,35283,5.67,261757,Urban,no,100
999890,1,Both Alive,Rent,86661,Business,Temporary,39531,82542,No,1,382646,DayScholar,25671,6.84,391301,Rural,yes,0
521430,4,Single Father,Own,72954,Business,Contract,52227,85761,Yes,4,440423,DayScholar,25385,0.03,110234,Urban,yes,100
954698,3,Both Alive,Own,22746,Private Job,Temporary,3164,36444,Yes,3,584543,DayScholar,11236,9.31,323831,Urban,no,100
87498,2,Single Mother,Own,67990,Agriculture,Self-employed,93078,35340,No,3,377968,DayScholar,22024,1.11,36491,Rural,yes,100
899159,4,Single Father,Rent,58810,Govt Job,Temporary,41247,5033,Yes,4,1281179,DayScholar,46872,4.06,226621,Rural,yes,100
912756,1,Both Alive,Own,83297,Foreign,Temporary,150673,73324,Yes,0,801841,DayScholar,39384,7.71,334259,Urban,no,100
175203,1,Both Alive,Own,15223,Unemployed,Self-employed,50599,15689,Yes,3,1101014,Hostel,17376,4.35,380079,Urban,yes,100
191335,3,Single Mother,Own,72237,Daily Wage,Permanent,135624,87134,No,2,251482,Hostel,37138,9.47,345922,Rural,yes,50
278167,1,Single Father,Rent,2597,Private Job,Self-employed,140489,95239,Yes,3,775598,DayScholar,18157,4.68,397997,Rural,no,100
41090,2,Both Alive,Rent,65677,Daily Wage,Self-employed,189651,66,No,0,795372,Hostel,19945,8.75,20448,Rural,yes,100
329365,3,Single Mother,Own,2659,Govt Job,Temporary,68207,45246,No,0,804301,DayScholar,36584,8.11,313694,Urban,yes,50
64820,1,Both Alive,Rent,86516,Govt Job,Permanent,72055,7533,Yes,1,504476,Hostel,23017,9.81,49294,Rural,no,100
787201,3,Single Father,Rent,74567,Business,Contract,102266,80639,Yes,2,722222,Hostel,1756,9.27,283590,Rural,no,100
321879,1,Both Alive,Own,15037,Unemployed,Self-employed,78270,70152,Yes,0,491153,Hostel,35141,8.98,338723,Urban,yes,100
718315,1,Both Alive,Own,46738,Govt Job,Permanent,111426,59658,Yes,4,1870966,DayScholar,2576,7.32,216461,Rural,yes,100
327069,1,Both Alive,Rent,71678,Daily Wage,Self-employed,134794,38498,No,2,1265950,Hostel,25467,3.67,376823,Rural,no,50
776997,2,Both Alive,Own,12109,Agriculture,Self-employed,70442,11772,Yes,2,1995848,DayScholar,36952,1.06,85615,Rural,yes,100
199041,2,Single Mother,Rent,22010,Agriculture,Self-employed,95632,89385,No,4,1810266,DayScholar,31205,6.89,17101,Rural,yes,50
791743,3,Single Mother,Rent,8787,Business,Self-employed,171103,49036,No,3,1740081,DayScholar,35165,9.79,459394,Urban,yes,50
103355,1,Single Father,Rent,8472,Foreign,Temporary,21438,58531,No,4,347766,Hostel,12674,7.27,290160,Rural,no,50
235796,1,Single Mother,Rent,23383,Daily Wage,Permanent,58819,12940,No,4,1560531,Hostel,43094,9.29,150004,Rural,yes,50
214176,2,Single Mother,Rent,61709,Daily Wage,Permanent,43856,16932,No,3,1609306,Hostel,43314,8.04,437869,Rural,yes,50
184779,1,Single Father,Rent,69785,Govt Job,Permanent,164648,95305,Yes,3,91948,DayScholar,22353,1.63,90481,Rural,no,100
347449,2,Single Mother,Own,34518,Unemployed,Self-employed,41938,56827,No,3,264657,DayScholar,29849,2.49,52802,Rural,no,50
421909,1,Single Mother,Own,53909,Daily Wage,Temporary,180100,61431,No,3,1346316,Hostel,4535,3.42,269693,Rural,no,50
989436,3,Single Father,Rent,18351,Private Job,Self-employed,59807,24648,Yes,3,1658655,DayScholar,47367,1.68,210005,Urban,yes,100
258795,1,Single Father,Rent,69624,Foreign,Self-employed,49877,32966,Yes,4,1625270,Hostel,41936,5.82,156434,Urban,yes,100
486232,1,Single Father,Rent,53330,Govt Job,Permanent,43461,27777,No,1,1099100,Hostel,17118,9.75,47842,Urban,no,50
917040,4,Both Alive,Own,15282,Private Job,Self-employed,93474,32567,No,1,164404,Hostel,632,7.61,46539,Rural,yes,0
500186,2,Both Alive,Rent,84866,Business,Contract,171541,17174,Yes,0,120160,Hostel,13280,4.23,33717,Rural,yes,100
156730,1,Single Father,Own,21778,Agriculture,Self-employed,83136,42598,No,1,1205412,DayScholar,14746,0.05,447812,Rural,yes,50
870910,1,Single Father,Rent,24264,Business,Contract,20435,59199,Yes,1,1741499,Hostel,37036,3.13,246281,Urban,yes,100
384681,4,Single Father,Rent,59675,Agriculture,Self-employed,145263,13798,Yes,4,490891,Hostel,19285,5.27,416232,Rural,no,100
149503,4,Both Alive,Own,5075,Business,Temporary,84726,65364,No,3,1226018,Hostel,18047,3.24,186272,Urban,no,50
654811,2,Both Alive,Own,75948,Daily Wage,Temporary,158458,17558,Yes,3,1850070,Hostel,48089,1.11,473484,Rural,yes,100
527035,4,Single Mother,Rent,48454,Private Job,Permanent,162793,61084,No,4,578933,Hostel,10207,4.43,453503,Rural,no,50
648143,3,Single Mother,Rent,28365,Agriculture,Self-employed,54786,44237,No,1,394903,Hostel,5591,2.53,115042,Urban,yes,0
452366,4,Single Father,Rent,72766,Govt Job,Contract,13704,65497,No,4,1327964,Hostel,27757,9.09,127922,Urban,yes,50
65725,3,Both Alive,Own,48200,Private Job,Contract,56635,178,Yes,0,1982452,DayScholar,16226,1.02,92447,Urban,no,100
129981,2,Both Alive,Own,11002,Govt Job,Self-employed,133195,86006,No,3,1819345,DayScholar,29732,0.49,345546,Urban,no,50
84654,2,Both Alive,Own,13947,Private Job,Contract,90710,17118,Yes,2,791608,DayScholar,27206,0.05,304751,Urban,yes,100
953277,2,Single Father,Own,79222,Private Job,Temporary,62993,22616,No,0,1144077,DayScholar,20256,3.28,158693,Urban,yes,0
905778,2,Single Mother,Own,94840,Business,Contract,112752,798,No,0,1176026,Hostel,33822,6.6,12823,Rural,yes,50
591723,2,Single Father,Own,78610,Agriculture,Permanent,156488,7601,Yes,4,1778407,DayScholar,41340,7.3,29986,Urban,yes,100
319030,3,Single Mother,Rent,52142,Agriculture,Temporary,132886,25363,No,1,1824469,DayScholar,46347,4.53,121682,Rural,no,50
328947,3,Single Mother,Rent,56307,Unemployed,Temporary,78537,2795,No,3,1337676,DayScholar,43351,6.84,64325,Rural,no,50
555839,2,Single Father,Own,4493,Private Job,Temporary,50258,97462,Yes,2,967977,Hostel,40775,3.6,390069,Rural,yes,100
902648,4,Single Mother,Rent,50085,Daily Wage,Self-employed,147580,45264,Yes,0,941398,DayScholar,48671,6.68,250476,Rural,yes,100
273538,1,Single Mother,Rent,34228,Daily Wage,Self-employed,85166,72833,Yes,2,1550710,DayScholar,9784,0.41,57771,Rural,no,100
331236,2,Both Alive,Own,79676,Govt Job,Temporary,113710,3084,No,1,1259234,Hostel,37029,3.91,54973,Urban,yes,50
528178,4,Single Mother,Rent,51875,Govt Job,Self-employed,35699,95865,Yes,1,1599573,DayScholar,35157,7.91,145762,Urban,no,100
565894,1,Single Father,Own,31655,Business,Contract,46335,76646,Yes,2,746618,Hostel,19937,8.03,301251,Urban,yes,100
489492,2,Single Father,Own,43472,Private Job,Self-employed,46806,731,No,3,390572,DayScholar,46707,7.16,57888,Rural,no,50
256840,2,Single Mother,Rent,49437,Govt Job,Self-employed,77853,1129,Yes,1,1335930,Hostel,11219,2.04,10956,Urban,yes,100
473254,3,Both Alive,Own,49416,Govt Job,Temporary,194840,28022,No,2,898513,DayScholar,9399,2.47,86839,Rural,yes,50
349457,1,Both Alive,Own,59711,Foreign,Permanent,35739,1605,No,0,179746,DayScholar,33312,9.96,449443,Rural,yes,50
665987,1,Single Mother,Own,6816,Private Job,Permanent,34785,77506,Yes,2,1577043,DayScholar,27657,1.03,167605,Rural,no,100
270936,4,Single Mother,Own,77175,Business,Permanent,163052,44130,No,2,110025,Hostel,20047,1.81,488426,Rural,no,50
239931,3,Single Father,Own,64307,Govt Job,Contract,85016,29265,Yes,4,1469525,DayScholar,35007,1.3,449450,Urban,yes,100
239629,3,Single Mother,Own,46733,Business,Self-employed,132681,32330,Yes,1,1209728,Hostel,10559,3.28,101131,Urban,yes,100
205041,3,Both Alive,Own,95028,Agriculture,Permanent,66253,68469,Yes,3,1553992,Hostel,20157,2.1,329738,Urban,yes,100
698361,3,Single Mother,Own,11240,Business,Temporary,91128,15187,Yes,3,194484,Hostel,35395,4.98,187973,Urban,yes,100
731912,1,Single Father,Rent,98234,Daily Wage,Permanent,159213,25791,No,4,1969484,Hostel,6618,4.76,11519,Urban,no,50
417113,1,Single Father,Rent,92493,Daily Wage,Permanent,161081,90436,No,3,200043,DayScholar,44891,9.02,162187,Rural,no,50
68148,2,Single Father,Rent,98344,Business,Self-employed,127581,70610,Yes,2,856278,DayScholar,6780,0.35,459482,Urban,no,100
777089,2,Single Father,Own,71363,Daily Wage,Self-employed,110966,91962,Yes,4,1124056,DayScholar,27050,3.2,1832,Rural,yes,100
648531,3,Single Father,Own,32762,Agriculture,Self-employed,137854,39867,No,0,777128,Hostel,8015,5.97,434584,Rural,yes,50
251995,3,Single Mother,Rent,8259,Private Job,Contract,99352,893,Yes,1,325104,DayScholar,3130,6.05,481641,Rural,no,100
906606,3,Single Mother,Rent,50139,Daily Wage,Contract,157005,99694,No,1,244622,Hostel,28083,4.8,113922,Urban,yes,50
678843,2,Single Mother,Rent,14849,Daily Wage,Permanent,77154,19773,Yes,1,444368,Hostel,16480,8.16,105474,Rural,no,100
910790,4,Single Mother,Own,81768,Business,Self-employed,139379,4239,No,2,1479042,Hostel,47599,0.63,69715,Rural,no,50
572843,4,Single Father,Rent,89709,Agriculture,Permanent,108297,20863,No,0,1930773,DayScholar,35476,8.15,333979,Urban,no,50
256508,2,Both Alive,Rent,54869,Unemployed,Temporary,38346,51415,No,4,1700129,DayScholar,38165,4.95,73366,Rural,no,50
803591,2,Single Mother,Own,63095,Unemployed,Temporary,112138,68968,Yes,4,1893145,Hostel,11528,1.34,37570,Rural,yes,100
896942,2,Both Alive,Rent,70910,Unemployed,Self-employed,50772,60430,Yes,1,747371,DayScholar,49608,8.86,481193,Rural,no,100
106530,2,Single Mother,Own,86710,Unemployed,Self-employed,40149,1515,Yes,0,1177498,DayScholar,5914,6.49,137687,Urban,yes,100
604365,2,Single Mother,Own,23567,Private Job,Temporary,86700,97206,Yes,0,526576,Hostel,37136,1.64,465514,Rural,no,100
822352,2,Both Alive,Own,35292,Business,Self-employed,158598,14605,Yes,0,1704144,Hostel,11179,0.34,38311,Rural,no,100
460337,3,Single Father,Rent,74813,Business,Contract,96758,56240,No,3,1498204,DayScholar,20472,1.41,352389,Urban,no,50
724839,3,Single Mother,Rent,97136,Foreign,Contract,128447,5586,No,3,1364596,Hostel,12076,6.09,103187,Urban,no,50
805889,3,Single Mother,Own,51631,Agriculture,Self-employed,199549,31186,No,1,890979,Hostel,24783,1.79,285578,Rural,yes,50
459773,3,Single Mother,Rent,9885,Unemployed,Temporary,5695,26928,No,0,739024,DayScholar,46716,2.26,86879,Urban,yes,50
208261,2,Both Alive,Rent,59659,Private Job,Permanent,39169,98264,No,0,846659,DayScholar,13824,0.25,15739,Urban,yes,50
764469,4,Single Father,Rent,54306,Agriculture,Self-employed,47947,83087,No,4,1746386,Hostel,4299,7.23,66202,Urban,yes,0
341097,1,Both Alive,Rent,66314,Unemployed,Self-employed,178296,87029,No,4,1143009,DayScholar,46888,8.1,98580,Urban,no,50
315139,2,Both Alive,Own,65087,Private Job,Permanent,45865,20711,Yes,1,83704,Hostel,8118,7.97,224491,Urban,yes,100
171829,1,Single Father,Rent,29165,Agriculture,Self-employed,156625,54962,No,0,541149,Hostel,10756,1.28,79599,Urban,yes,50
271836,4,Both Alive,Own,58929,Business,Permanent,104501,20039,Yes,1,248366,DayScholar,7953,9.03,164721,Urban,no,100
438974,3,Single Father,Own,67028,Business,Temporary,60410,36561,No,4,334058,Hostel,37552,6.72,231436,Rural,yes,50
989913,4,Single Mother,Rent,95998,Govt Job,Contract,103754,75483,No,4,1122464,Hostel,15185,8.98,440661,Urban,yes,50
202283,2,Single Father,Own,49812,Daily Wage,Temporary,90895,97871,Yes,3,875718,Hostel,41792,4.47,116770,Urban,yes,100
196769,3,Single Mother,Rent,50500,Unemployed,Contract,155888,81395,No,1,595581,DayScholar,14674,4.37,301614,Urban,yes,50
561353,2,Both Alive,Rent,79151,Foreign,Permanent,186098,88658,Yes,1,223596,DayScholar,44476,7.85,337109,Rural,no,100
223165,3,Both Alive,Own,58643,Agriculture,Contract,50705,1577,No,0,78515,DayScholar,33927,0.93,387476,Urban,no,50
623587,1,Single Mother,Own,44900,Foreign,Temporary,192994,28350,Yes,0,426740,Hostel,386,5.21,179693,Urban,yes,100
950110,1,Both Alive,Own,42946,Govt Job,Contract,115700,33798,No,3,279209,Hostel,26617,8.36,391825,Rural,no,50
535822,1,Single Father,Own,7851,Daily Wage,Permanent,73914,97434,Yes,2,1751620,DayScholar,7192,8.3,426142,Urban,yes,100
487879,4,Single Mother,Rent,16288,Agriculture,Contract,1881,81417,Yes,2,1671584,DayScholar,10745,9.56,261051,Rural,yes,100
564685,2,Both Alive,Rent,72692,Private Job,Self-employed,170639,10785,No,2,1223013,DayScholar,30020,6.98,114300,Rural,yes,50
782038,4,Single Mother,Rent,67580,Unemployed,Temporary,47365,72227,No,1,1903884,Hostel,42678,2.08,300141,Urban,no,0
353531,1,Single Father,Own,7368,Daily Wage,Self-employed,79211,61957,Yes,1,951208,DayScholar,21159,0.2,191012,Rural,no,100
263160,2,Single Father,Own,85436,Business,Permanent,156078,65431,No,4,198929,Hostel,3409,4.79,171796,Urban,no,50
579879,1,Both Alive,Own,96136,Govt Job,Contract,41198,17297,Yes,1,1195270,DayScholar,49841,5.14,359949,Urban,no,100
220884,4,Single Father,Rent,46403,Daily Wage,Self-employed,153903,71894,No,1,880229,Hostel,25745,2.4,162776,Rural,no,50
23247,4,Single Mother,Own,91170,Unemployed,Self-employed,100649,63772,Yes,1,251540,Hostel,45948,1.25,384346,Rural,no,100
24300,4,Single Father,Rent,9168,Daily Wage,Contract,147531,19581,No,3,1027507,DayScholar,29455,5.86,421607,Urban,yes,100
467281,1,Single Mother,Own,86497,Unemployed,Contract,163515,55192,Yes,1,1674005,Hostel,38910,7.64,456507,Urban,no,100
607086,2,Single Mother,Rent,49879,Business,Temporary,173388,1462,No,0,1022211,DayScholar,38735,9.93,482939,Rural,yes,50
533556,2,Single Father,Rent,59871,Agriculture,Self-employed,195558,64173,Yes,0,256476,Hostel,29166,7.58,241942,Urban,yes,100
348951,1,Both Alive,Own,89388,Private Job,Self-employed,136949,15511,Yes,4,1039237,Hostel,39973,7.94,2526,Urban,no,100
274329,2,Single Father,Own,98646,Business,Permanent,39553,76106,No,3,1006836,DayScholar,28072,6.16,417902,Urban,yes,50
719064,1,Single Mother,Rent,32174,Private Job,Temporary,135994,48665,No,0,1423110,Hostel,48774,9.86,335483,Rural,yes,50
742139,2,Single Mother,Rent,99751,Agriculture,Permanent,122778,44414,Yes,3,1417576,DayScholar,12109,6.4,491420,Urban,yes,100
432315,3,Single Father,Own,92491,Daily Wage,Self-employed,117018,81010,Yes,3,1911209,DayScholar,45802,8.6,268718,Urban,no,100
926075,3,Both Alive,Own,6581,Private Job,Permanent,135758,72573,Yes,4,435910,DayScholar,2484,9.46,270877,Urban,no,100
516588,4,Both Alive,Rent,71853,Govt Job,Self-employed,32766,93665,Yes,3,1934774,Hostel,34622,9.3,312434,Rural,yes,100
236584,3,Single Mother,Own,64046,Govt Job,Self-employed,32006,13386,No,1,32995,Hostel,44399,3.81,334937,Rural,no,50
562332,3,Single Mother,Rent,49678,Unemployed,Permanent,31422,54460,Yes,3,888752,Hostel,2597,0.79,36051,Rural,yes,100
837646,3,Both Alive,Rent,26649,Business,Permanent,116590,6221,Yes,4,1663005,DayScholar,40597,1.72,15909,Urban,no,100
978732,1,Single Father,Own,88668,Agriculture,Contract,12205,23474,Yes,4,1722355,DayScholar,40954,0.59,482898,Rural,yes,100
376896,3,Single Mother,Own,82325,Unemployed,Contract,154599,21045,No,4,451168,Hostel,3983,1.05,77338,Urban,yes,50
48984,3,Single Mother,Own,14567,Business,Contract,149515,91319,Yes,0,1050532,Hostel,39452,1.85,335576,Rural,no,100
302918,4,Both Alive,Own,80404,Business,Self-employed,147596,4922,No,1,699197,DayScholar,43151,3.41,290277,Urban,no,50
264712,3,Single Father,Own,89906,Unemployed,Permanent,116477,22706,No,0,1129375,Hostel,17040,5.44,182643,Rural,no,50
120151,3,Both Alive,Rent,96019,Foreign,Temporary,28202,42771,No,2,1762813,DayScholar,44772,7.12,79062,Urban,no,50
455808,2,Single Father,Rent,61944,Business,Self-employed,196624,52335,No,1,509471,Hostel,30554,2.11,181980,Urban,no,50
985067,4,Single Father,Own,78002,Foreign,Temporary,177214,98015,No,3,1890695,DayScholar,27916,6.73,404494,Rural,yes,50
133767,4,Single Father,Own,28803,Govt Job,Permanent,61692,52949,No,4,765027,Hostel,44871,7.04,373690,Urban,yes,50
